trip_id,sol,trip_index,crew_served,route_km,payload_kg,terrain_risk_score,energy_kwh,dust_storm_flag,battery_soh
192,44,2,100,1.12,60.9,0.534,13.87,0,0.9808
193,44,3,100,2.01,131.1,0.708,16.95,0,0.9807
194,45,0,100,5.73,97.6,0.118,11.29,0,0.9804
195,45,1,100,5.26,64.8,0.218,13.04,0,0.9803
196,45,2,100,3.69,131.8,0.215,10.56,0,0.9803
197,45,3,100,0.94,140.2,0.455,13.51,0,0.9803
198,46,0,100,5.62,65.4,0.353,14.61,0,0.9799
199,46,1,100,2.64,79.6,0.512,14.65,0,0.9799
200,46,2,100,5.79,86.1,0.143,14.15,0,0.9799
201,46,3,100,5.09,170.4,0.214,12.09,0,0.9799
202,47,0,100,3.17,210.8,0.277,13.13,0,0.9795
203,47,1,100,5.31,111.3,0.467,13.89,0,0.9795
204,47,2,100,4.75,113.9,0.508,15.63,0,0.9795
205,47,3,100,3.7,204.1,0.687,19.99,0,0.9795
206,48,0,100,4.28,192.9,0.506,15.24,0,0.9791
207,48,1,100,5.56,106.0,0.283,15.01,0,0.9791
208,48,2,100,4.03,181.2,0.745,16.75,0,0.979
209,48,3,100,2.1,98.3,0.219,17.99,0,0.979
210,49,0,100,5.56,57.4,0.82,17.29,0,0.9787
211,49,1,100,1.66,162.2,0.213,13.85,0,0.9786
212,49,2,100,1.36,213.2,0.418,14.01,0,0.9786
213,49,3,100,4.01,100.0,0.146,12.35,0,0.9786
214,49,4,100,4.54,157.3,0.108,10.96,0,0.9786
215,49,5,100,3.29,112.3,0.7,18.39,0,0.9786
216,50,0,100,5.25,92.0,0.735,19.62,0,0.9782
217,50,1,100,1.5,139.5,0.155,14.77,0,0.9782
218,50,2,100,3.76,73.5,0.258,11.99,0,0.9781
219,50,3,100,0.99,49.1,0.747,18.41,0,0.9781
220,51,0,100,5.03,113.8,0.2,15.37,0,0.9778
221,51,1,100,6.45,44.6,0.119,12.27,0,0.9777
222,51,2,100,2.41,58.4,0.655,14.0,0,0.9777
223,51,3,100,5.43,87.9,0.689,15.04,0,0.9777
224,52,0,100,6.09,132.5,0.765,17.34,0,0.9773
225,52,1,100,5.2,149.9,0.625,17.09,0,0.9773
226,52,2,100,2.81,192.7,0.205,14.75,0,0.9773
227,52,3,100,4.1,197.5,0.152,13.52,0,0.9773
228,53,0,100,1.45,92.2,0.698,17.16,0,0.9769
229,53,1,100,5.79,118.1,0.803,18.43,0,0.9769
230,53,2,100,1.24,45.2,0.356,15.7,0,0.9768
231,53,3,100,5.99,61.9,0.628,17.83,0,0.9768
232,54,0,100,0.97,199.9,0.191,13.7,0,0.9765
233,54,1,100,2.48,217.0,0.377,12.57,0,0.9764
234,54,2,100,4.65,134.6,0.539,17.12,0,0.9764
235,54,3,100,5.72,81.6,0.387,15.41,0,0.9764
236,55,0,100,5.11,190.9,0.551,17.0,0,0.976
237,55,1,100,1.65,202.8,0.37,16.17,0,0.976
238,55,2,100,6.03,187.4,0.123,15.08,0,0.976
239,55,3,100,4.27,63.3,0.695,15.74,0,0.976
240,56,0,100,4.86,201.8,0.832,18.88,0,0.9756
241,56,1,100,1.35,54.3,0.392,14.17,0,0.9756
242,56,2,100,1.8,45.3,0.226,13.24,0,0.9756
243,56,3,100,3.13,193.5,0.386,14.51,0,0.9755
244,56,4,100,2.84,147.3,0.381,15.35,0,0.9755
245,56,5,100,5.63,75.2,0.617,17.47,0,0.9755
246,57,0,100,5.11,145.6,0.266,13.13,0,0.9751
247,57,1,100,5.74,119.5,0.107,10.96,0,0.9751
248,57,2,100,0.89,191.3,0.181,12.42,0,0.9751
249,57,3,100,1.29,56.5,0.13,12.63,0,0.9751
250,58,0,100,6.34,100.0,0.271,12.26,0,0.9747
251,58,1,100,1.39,107.6,0.458,14.48,0,0.9747
252,58,2,100,5.89,211.3,0.436,17.72,0,0.9747
253,58,3,100,4.83,143.8,0.104,12.32,0,0.9746
254,59,0,100,4.85,169.4,0.458,16.94,0,0.9743
255,59,1,100,2.8,74.9,0.302,14.29,0,0.9743
256,59,2,100,1.62,165.0,0.458,14.05,0,0.9742
257,59,3,100,4.98,145.8,0.33,13.37,0,0.9742
258,60,0,100,5.4,104.0,0.347,15.89,0,0.9738
259,60,1,100,3.67,145.0,0.228,12.6,0,0.9738
260,60,2,100,1.33,130.8,0.389,12.95,0,0.9738
261,60,3,100,6.29,117.9,0.417,13.72,0,0.9738
262,61,0,100,2.04,130.4,0.488,16.37,0,0.9734
263,61,1,100,4.77,132.6,0.187,13.96,0,0.9734
264,61,2,100,2.28,104.0,0.618,17.57,0,0.9734
265,61,3,100,1.37,153.7,0.695,17.44,0,0.9734
266,62,0,100,4.74,157.7,0.736,18.46,0,0.973
267,62,1,100,4.37,96.2,0.47,16.0,0,0.973
268,62,2,100,4.38,81.5,0.496,18.05,0,0.9729
269,62,3,100,3.88,180.3,0.459,14.18,0,0.9729
270,63,0,100,1.31,152.6,0.606,16.05,0,0.9726
271,63,1,100,1.09,183.7,0.329,14.33,0,0.9725
272,63,2,100,3.01,190.2,0.686,15.11,0,0.9725
273,63,3,100,4.68,163.1,0.339,13.78,0,0.9725
274,63,4,100,4.3,95.5,0.581,14.97,0,0.9725
275,63,5,100,6.02,66.4,0.453,14.24,0,0.9725
276,64,0,100,4.81,172.8,0.798,16.97,0,0.9721
277,64,1,100,6.09,46.5,0.142,11.47,0,0.9721
278,64,2,100,4.48,147.7,0.572,15.3,0,0.972
279,64,3,100,5.22,185.4,0.885,19.81,0,0.972
280,65,0,100,5.09,100.2,0.677,19.64,0,0.9716
281,65,1,100,5.65,40.0,0.815,17.56,0,0.9716
282,65,2,100,5.05,218.5,0.289,13.66,0,0.9716
283,65,3,100,5.51,78.8,0.23,15.1,0,0.9716
284,66,0,100,3.98,59.9,0.109,12.2,0,0.9712
285,66,1,100,6.21,92.8,0.583,19.92,0,0.9712
286,66,2,100,2.89,50.6,0.111,12.55,0,0.9712
287,66,3,100,2.47,95.0,0.857,17.68,0,0.9712
288,67,0,100,2.89,115.0,0.761,16.2,0,0.9708
289,67,1,100,2.08,121.0,0.647,14.16,0,0.9708
290,67,2,100,0.92,159.1,0.418,13.44,0,0.9708
291,67,3,100,2.96,46.2,0.452,16.05,0,0.9707
292,68,0,100,3.24,201.9,0.704,16.74,0,0.9704
293,68,1,100,3.66,84.2,0.23,13.15,0,0.9703
294,68,2,100,3.24,158.7,0.323,14.51,0,0.9703
295,68,3,100,5.0,47.9,0.671,15.24,0,0.9703
296,69,0,100,3.73,66.3,0.629,16.52,0,0.9699
297,69,1,100,5.27,123.7,0.308,13.11,0,0.9699
298,69,2,100,4.09,123.5,0.557,17.26,0,0.9699
299,69,3,100,2.79,63.2,0.486,13.77,0,0.9699
300,70,0,100,5.77,191.3,0.541,14.25,0,0.9695
301,70,1,100,4.18,150.5,0.266,13.32,0,0.9695
302,70,2,100,1.0,86.4,0.379,13.4,0,0.9695
303,70,3,100,4.2,56.1,0.688,18.81,0,0.9694
304,70,4,100,4.07,217.6,0.305,15.59,0,0.9694
305,70,5,100,3.06,55.0,0.55,15.21,0,0.9694
306,71,0,100,2.01,111.7,0.84,20.13,0,0.969
307,71,1,100,2.67,155.2,0.298,13.08,0,0.969
308,71,2,100,3.82,177.2,0.818,18.04,0,0.969
309,71,3,100,1.0,97.4,0.816,18.51,0,0.969
310,72,0,100,3.84,68.8,0.798,19.49,0,0.9686
311,72,1,100,4.36,196.6,0.4,18.52,0,0.9686
312,72,2,100,2.79,111.5,0.86,17.89,0,0.9686
313,72,3,100,3.66,62.9,0.304,11.91,0,0.9685
314,73,0,100,0.83,116.7,0.357,15.26,0,0.9682
315,73,1,100,2.45,192.0,0.523,14.81,0,0.9682
316,73,2,100,1.43,164.4,0.694,17.57,0,0.9681
317,73,3,100,2.73,85.0,0.436,14.91,0,0.9681
318,74,0,100,5.35,76.1,0.661,17.33,0,0.9677
319,74,1,100,5.29,55.1,0.41,14.19,0,0.9677
320,74,2,100,1.51,176.7,0.168,14.21,0,0.9677
321,74,3,100,4.1,120.3,0.342,13.96,0,0.9677
322,75,0,100,5.6,101.4,0.791,17.47,0,0.9673
323,75,1,100,4.11,183.2,0.36,13.94,0,0.9673
324,75,2,100,3.3,59.8,0.62,17.36,0,0.9673
325,75,3,100,2.31,128.7,0.196,12.33,0,0.9673
326,76,0,100,4.03,123.8,0.38,14.96,0,0.9669
327,76,1,100,3.39,164.2,0.638,18.12,0,0.9669
328,76,2,100,5.33,177.4,0.666,16.81,0,0.9668
329,76,3,100,3.84,133.7,0.817,19.26,0,0.9668
330,77,0,100,4.45,88.5,0.403,15.45,0,0.9664
331,77,1,100,1.72,86.6,0.549,17.21,0,0.9664
332,77,2,100,5.98,72.7,0.687,19.73,0,0.9664
333,77,3,100,6.06,198.1,0.265,14.8,0,0.9664
334,77,4,100,1.14,92.7,0.231,12.43,0,0.9664
335,77,5,100,2.52,55.1,0.436,17.47,0,0.9663
336,78,0,100,2.9,174.1,0.386,14.23,0,0.966
337,78,1,100,4.36,91.3,0.265,15.27,0,0.966
338,78,2,100,3.09,151.2,0.653,17.05,0,0.9659
339,78,3,100,3.57,145.6,0.219,13.49,0,0.9659
340,79,0,100,1.04,194.6,0.406,14.88,0,0.9656
341,79,1,100,1.75,97.6,0.21,13.66,0,0.9655
342,79,2,100,3.08,102.0,0.323,15.69,0,0.9655
343,79,3,100,4.36,192.1,0.841,17.94,0,0.9655
344,80,0,100,0.96,179.1,0.458,15.52,0,0.9651
345,80,1,100,5.2,146.5,0.276,13.38,0,0.9651
346,80,2,100,1.46,151.1,0.414,16.12,0,0.9651
347,80,3,100,2.08,183.4,0.294,14.89,0,0.9651
348,81,0,100,2.22,64.6,0.254,15.28,0,0.9647
349,81,1,100,2.86,159.4,0.34,13.79,0,0.9647
350,81,2,100,4.33,131.5,0.857,18.45,0,0.9647
351,81,3,100,3.66,107.3,0.865,16.65,0,0.9646
352,82,0,100,1.31,126.6,0.465,16.24,0,0.9643
353,82,1,100,2.42,64.4,0.144,14.63,0,0.9642
354,82,2,100,2.66,180.6,0.611,14.81,0,0.9642
355,82,3,100,5.77,183.6,0.135,13.8,0,0.9642
356,83,0,100,2.82,192.8,0.845,21.14,0,0.9638
357,83,1,100,2.86,201.7,0.48,16.64,0,0.9638
358,83,2,100,2.83,40.3,0.603,17.77,0,0.9638
359,83,3,100,2.85,201.0,0.837,19.19,0,0.9638
360,84,0,100,4.63,117.2,0.138,14.14,0,0.9634
361,84,1,100,5.85,176.3,0.874,18.41,0,0.9634
362,84,2,100,5.23,211.8,0.298,15.04,0,0.9634
363,84,3,100,5.41,174.2,0.418,14.1,0,0.9633
364,84,4,100,2.03,195.1,0.667,16.71,0,0.9633
365,84,5,100,3.64,204.4,0.9,21.05,0,0.9633
366,85,0,100,5.35,188.0,0.815,21.56,0,0.9629
367,85,1,100,4.83,178.5,0.273,14.45,0,0.9629
368,85,2,100,4.05,51.7,0.599,18.13,0,0.9629
369,85,3,100,3.09,56.1,0.526,18.93,0,0.9629
370,86,0,100,4.14,46.1,0.436,17.62,0,0.9625
371,86,1,100,5.54,153.7,0.254,14.39,0,0.9625
372,86,2,100,6.05,111.3,0.493,15.15,0,0.9625
373,86,3,100,1.82,177.9,0.84,17.22,0,0.9624
374,87,0,100,3.43,116.5,0.674,14.29,0,0.9621
375,87,1,100,3.31,58.7,0.305,12.79,0,0.9621
376,87,2,100,1.06,43.2,0.574,16.65,0,0.962
377,87,3,100,5.14,46.2,0.695,16.49,0,0.962
378,88,0,100,2.55,157.5,0.547,17.24,0,0.9616
379,88,1,100,2.67,92.9,0.452,11.85,0,0.9616
380,88,2,100,3.69,89.9,0.813,18.04,0,0.9616
381,88,3,100,3.54,191.3,0.207,15.63,0,0.9616
382,89,0,100,6.32,175.2,0.112,13.32,0,0.9612
383,89,1,100,2.25,204.7,0.745,19.98,0,0.9612
384,89,2,100,5.33,215.7,0.888,19.14,0,0.9612
385,89,3,100,1.68,95.2,0.686,15.45,0,0.9611
386,90,0,100,6.26,122.6,0.336,15.85,0,0.9608
387,90,1,100,2.75,100.8,0.573,17.04,0,0.9608
388,90,2,100,3.12,88.3,0.441,15.01,0,0.9607
389,90,3,100,3.73,130.9,0.898,18.07,0,0.9607
390,91,0,100,1.41,79.8,0.256,10.99,0,0.9603
391,91,1,100,1.57,88.6,0.746,15.71,0,0.9603
392,91,2,100,4.48,105.1,0.886,20.11,0,0.9603
393,91,3,100,2.33,137.0,0.33,14.65,0,0.9603
394,91,4,100,2.51,74.4,0.169,12.86,0,0.9603
395,91,5,100,2.43,81.0,0.865,17.18,0,0.9602
396,92,0,100,3.92,184.1,0.279,12.19,0,0.9599
397,92,1,100,3.81,192.8,0.203,15.5,0,0.9599
398,92,2,100,6.02,98.8,0.269,15.11,0,0.9598
399,92,3,100,6.2,47.2,0.764,19.17,0,0.9598
400,93,0,100,4.92,41.1,0.864,21.57,0,0.9595
401,93,1,100,4.32,45.2,0.325,12.02,0,0.9594
402,93,2,100,4.91,210.3,0.852,18.97,0,0.9594
403,93,3,100,5.69,205.7,0.577,18.0,0,0.9594
404,94,0,100,2.32,78.3,0.835,16.84,0,0.959
405,94,1,100,5.34,185.9,0.868,19.6,0,0.959
406,94,2,100,3.78,159.9,0.457,12.15,0,0.959
407,94,3,100,3.11,69.1,0.423,11.11,0,0.959
408,95,0,100,4.36,147.8,0.839,19.75,0,0.9586
409,95,1,100,3.17,68.1,0.406,14.73,0,0.9586
410,95,2,100,0.81,206.3,0.503,16.51,0,0.9586
411,95,3,100,3.41,181.9,0.138,12.57,0,0.9585
412,96,0,100,2.59,196.7,0.358,17.48,0,0.9582
413,96,1,100,1.27,159.4,0.592,17.07,0,0.9581
414,96,2,100,2.12,125.9,0.228,14.79,0,0.9581
415,96,3,100,4.99,132.6,0.167,11.9,0,0.9581
416,97,0,100,2.88,40.5,0.432,16.09,0,0.9577
417,97,1,100,3.97,47.9,0.25,13.21,0,0.9577
418,97,2,100,4.27,69.9,0.563,12.77,0,0.9577
419,97,3,100,4.38,71.6,0.776,18.91,0,0.9577
420,98,0,100,5.58,169.0,0.222,15.12,0,0.9573
421,98,1,100,2.85,163.1,0.39,14.55,0,0.9573
422,98,2,100,1.31,191.5,0.324,9.73,0,0.9573
423,98,3,100,1.84,60.5,0.477,15.48,0,0.9572
424,98,4,100,2.69,214.2,0.75,18.58,0,0.9572
425,98,5,100,1.09,197.2,0.83,19.32,0,0.9572
426,99,0,100,4.17,208.3,0.242,14.39,0,0.9568
427,99,1,100,2.42,195.5,0.788,13.84,0,0.9568
428,99,2,100,4.77,180.5,0.852,17.62,0,0.9568
429,99,3,100,2.07,142.2,0.113,10.76,0,0.9568
430,100,0,100,4.24,43.8,0.732,15.2,0,0.9564
431,100,1,100,1.43,192.4,0.894,18.12,0,0.9564
432,100,2,100,3.62,90.8,0.683,18.82,0,0.9564
433,100,3,100,5.01,206.2,0.852,20.12,0,0.9563
434,101,0,100,5.31,99.0,0.702,13.91,0,0.956
435,101,1,100,1.87,162.8,0.775,19.98,0,0.9559
436,101,2,100,1.2,114.9,0.867,19.44,0,0.9559
437,101,3,100,2.48,151.9,0.117,11.12,0,0.9559
438,102,0,100,1.26,75.2,0.803,18.35,0,0.9555
439,102,1,100,5.68,195.7,0.182,16.52,0,0.9555
440,102,2,100,4.77,162.9,0.362,14.14,0,0.9555
441,102,3,100,5.84,86.6,0.839,19.54,0,0.9555
442,103,0,100,3.45,161.6,0.525,17.28,0,0.9551
443,103,1,100,2.34,142.4,0.563,14.32,0,0.9551
444,103,2,100,5.7,119.8,0.453,14.59,0,0.9551
445,103,3,100,4.57,165.6,0.554,15.17,0,0.955
446,104,0,100,3.42,85.6,0.172,14.44,0,0.9547
447,104,1,100,1.47,110.3,0.406,13.51,0,0.9547
448,104,2,100,5.65,98.6,0.327,14.77,0,0.9546
